,Locality Name,In Person,Absentee,Provisional,Totals,,Curbside
0,ACCOMACK COUNTY,"11,695","1,176",8,"12,879",,0
1,ALBEMARLE COUNTY,"48,018","5,542",132,"53,692",,156
2,ALEXANDRIA CITY,"55,317","10,782",386,"66,485",,115
3,ALLEGHANY COUNTY,"5,196",294,0,"5,490",,16
4,AMELIA COUNTY,"5,401",480,19,"5,900",,18
5,AMHERST COUNTY,"11,813",759,13,"12,585",,0
6,APPOMATTOX COUNTY,"6,340",368,1,"6,709",,22
7,ARLINGTON COUNTY,"86,682","20,751",335,"107,768",,205
8,AUGUSTA COUNTY,"28,235","1,670",48,"29,953",,115
9,BATH COUNTY,"1,639",111,1,"1,751",,0
10,BEDFORD COUNTY,"33,322","2,360",34,"35,716",,185
11,BLAND COUNTY,"2,342",123,0,"2,465",,6
12,BOTETOURT COUNTY,"14,618",970,6,"15,594",,68
13,BRISTOL CITY,"4,864",429,7,"5,300",,41
14,BRUNSWICK COUNTY,"5,683",505,19,"6,207",,89
15,BUCHANAN COUNTY,"5,470",556,4,"6,030",,15
16,BUCKINGHAM COUNTY,"5,771",419,4,"6,194",,39
17,BUENA VISTA CITY,"1,635",127,0,"1,762",,7
18,CAMPBELL COUNTY,"20,972","1,055",13,"22,040",,0
19,CAROLINE COUNTY,"10,604",805,28,"11,437",,107
20,CARROLL COUNTY,"10,037",635,12,"10,684",,47
21,CHARLES CITY COUNTY,"3,001",353,3,"3,357",,48
22,CHARLOTTE COUNTY,"4,498",259,1,"4,758",,0
23,CHARLOTTESVILLE CITY,"17,915","2,655",128,"20,698",,78
24,CHESAPEAKE CITY,"84,503","6,459",282,"91,244",,807
25,CHESTERFIELD COUNTY,"142,354","11,821",483,"154,658",,"3,575"
26,CLARKE COUNTY,"6,437",786,8,"7,231",,40
27,COLONIAL HEIGHTS CITY,"5,804",639,3,"6,446",,20
28,COVINGTON CITY,"1,699",84,0,"1,783",,3
29,CRAIG COUNTY,"2,078",129,1,"2,208",,4
30,CULPEPER COUNTY,"17,879","1,630",21,"19,530",,51
31,CUMBERLAND COUNTY,"3,939",299,5,"4,243",,0
32,DANVILLE CITY,"14,218",976,9,"15,203",,90
33,DICKENSON COUNTY,"4,051",491,3,"4,545",,26
34,DINWIDDIE COUNTY,"9,769",826,1,"10,596",,8
35,EMPORIA CITY,"1,725",76,1,"1,802",,1
36,ESSEX COUNTY,"4,036",408,11,"4,455",,9
37,FAIRFAX CITY,"9,007","1,615",24,"10,646",,26
38,FAIRFAX COUNTY,"404,638","77,886","1,285","483,809",,"2,264"
39,FALLS CHURCH CITY,"5,267","1,939",22,"7,228",,0
40,FAUQUIER COUNTY,"28,994","3,353",47,"32,394",,0
41,FLOYD COUNTY,"6,074",694,11,"6,779",,34
42,FLUVANNA COUNTY,"10,654","1,385",23,"12,062",,57
43,FRANKLIN CITY,"2,821",178,3,"3,002",,25
44,FRANKLIN COUNTY,"20,829","1,442",14,"22,285",,113
45,FREDERICK COUNTY,"32,045","2,285",28,"34,358",,69
46,FREDERICKSBURG CITY,"8,839",933,98,"9,870",,73
47,GALAX CITY,"1,685",155,1,"1,841",,17
48,GILES COUNTY,"6,189",494,5,"6,688",,30
49,GLOUCESTER COUNTY,"14,687","1,019",6,"15,712",,79
