,Precinct Name,In Person,Absentee,Provisional,Totals,,Curbside,County
1,# Central Absentee,0,1176,0,1176,,0,ACCOMACK COUNTY
2,## Provisional,0,0,8,8,,0,ACCOMACK COUNTY
3,101 - CHINCOTEAGUE,1445,0,0,1445,,0,ACCOMACK COUNTY
4,201 - ATLANTIC,606,0,0,606,,0,ACCOMACK COUNTY
5,202 - GREENBACKVILLE,828,0,0,828,,0,ACCOMACK COUNTY
6,301 - NEW CHURCH,983,0,0,983,,0,ACCOMACK COUNTY
7,401 - BLOXOM,375,0,0,375,,0,ACCOMACK COUNTY
8,402 - PARKSLEY,611,0,0,611,,0,ACCOMACK COUNTY
9,403 - SAXIS,159,0,0,159,,0,ACCOMACK COUNTY
10,501 - MAPPSVILLE,494,0,0,494,,0,ACCOMACK COUNTY
11,502 - RUE,420,0,0,420,,0,ACCOMACK COUNTY
12,601 - ACCOMAC,952,0,0,952,,0,ACCOMACK COUNTY
13,602 - TANGIER,206,0,0,206,,0,ACCOMACK COUNTY
14,701 - NANDUA,1558,0,0,1558,,0,ACCOMACK COUNTY
15,801 - BOBTOWN,532,0,0,532,,0,ACCOMACK COUNTY
16,802 - MELFA,684,0,0,684,,0,ACCOMACK COUNTY
17,803 - WACHAPREAGUE,457,0,0,457,,0,ACCOMACK COUNTY
18,901 - PAINTER,1385,0,0,1385,,0,ACCOMACK COUNTY
1,# Central Absentee,4,5542,0,5546,,11,ALBEMARLE COUNTY
2,## Provisional,0,0,132,132,,0,ALBEMARLE COUNTY
3,101 - WOODBROOK,1926,0,0,1926,,9,ALBEMARLE COUNTY
4,103 - BRANCHLANDS,731,0,0,731,,0,ALBEMARLE COUNTY
5,104 - AGNOR-HURT,1498,0,0,1498,,7,ALBEMARLE COUNTY
6,105 - DUNLORA,2191,0,0,2191,,27,ALBEMARLE COUNTY
7,106 - NORTHSIDE,2235,0,0,2235,,0,ALBEMARLE COUNTY
8,201 - JACK JOUETT,2274,0,0,2274,,12,ALBEMARLE COUNTY
9,202 - UNIVERSITY,2333,0,0,2333,,1,ALBEMARLE COUNTY
10,203 - GEORGETOWN,1711,0,0,1711,,3,ALBEMARLE COUNTY
11,301 - IVY,2658,0,0,2658,,1,ALBEMARLE COUNTY
12,302 - RED HILL,1885,0,0,1885,,4,ALBEMARLE COUNTY
13,304 - EAST IVY,656,0,0,656,,4,ALBEMARLE COUNTY
14,305 - COUNTRY GREEN,1680,0,0,1680,,8,ALBEMARLE COUNTY
15,306 - PORTERS,969,0,0,969,,15,ALBEMARLE COUNTY
16,307 - YELLOW MOUNTAIN,455,0,0,455,,2,ALBEMARLE COUNTY
17,401 - SCOTTSVILLE,977,0,0,977,,4,ALBEMARLE COUNTY
18,402 - MONTICELLO,924,0,0,924,,0,ALBEMARLE COUNTY
19,405 - CALE,2018,0,0,2018,,0,ALBEMARLE COUNTY
20,406 - STONE ROBINSON,2000,0,0,2000,,1,ALBEMARLE COUNTY
21,407 - BISCUIT RUN,1244,0,0,1244,,2,ALBEMARLE COUNTY
22,501 - KESWICK,948,0,0,948,,0,ALBEMARLE COUNTY
23,502 - STONY POINT,1032,0,0,1032,,11,ALBEMARLE COUNTY
24,503 - HOLLYMEAD,1562,0,0,1562,,1,ALBEMARLE COUNTY
25,504 - FREE BRIDGE,1491,0,0,1491,,11,ALBEMARLE COUNTY
26,506 - BAKER-BUTLER,2140,0,0,2140,,1,ALBEMARLE COUNTY
27,507 - PANTOPS,1376,0,0,1376,,0,ALBEMARLE COUNTY
28,601 - CROZET,2125,0,0,2125,,6,ALBEMARLE COUNTY
29,602 - FREE UNION,918,0,0,918,,1,ALBEMARLE COUNTY
30,603 - EARLYSVILLE,2141,0,0,2141,,4,ALBEMARLE COUNTY
31,604 - BROWNSVILLE,1721,0,0,1721,,7,ALBEMARLE COUNTY
32,606 - MECHUMS RIVER,2195,0,0,2195,,3,ALBEMARLE COUNTY
1,# Central Absentee,11,10782,0,10793,,0,ALEXANDRIA CITY
2,## Provisional,0,0,386,386,,0,ALEXANDRIA CITY
3,101 - LADREY SENIOR BUILDING,1515,0,0,1515,,2,ALEXANDRIA CITY
4,102 - CITY HALL,1469,0,0,1469,,2,ALEXANDRIA CITY
5,103 - LYLES CROUCH SCHOOL,2275,0,0,2275,,7,ALEXANDRIA CITY
6,104 - DURANT CENTER,1766,0,0,1766,,4,ALEXANDRIA CITY
7,105 - LEE CENTER,2647,0,0,2647,,14,ALEXANDRIA CITY
8,106 - CORA KELLY,2484,0,0,2484,,6,ALEXANDRIA CITY
9,107 - MT VERNON RECREATION CENTER,2722,0,0,2722,,3,ALEXANDRIA CITY
10,108 - GEORGE WASHINGTON MIDDLE SCH,2706,0,0,2706,,10,ALEXANDRIA CITY
11,109 - FIRE DEPARTMENT HEADQUARTERS,1616,0,0,1616,,4,ALEXANDRIA CITY
12,110 - CHARLES HOUSTON CENTER,1908,0,0,1908,,0,ALEXANDRIA CITY
13,111 - POTOMAC YARD,991,0,0,991,,0,ALEXANDRIA CITY
14,201 - MAURY SCHOOL,1809,0,0,1809,,1,ALEXANDRIA CITY
15,202 - GEORGE MASON SCHOOL,1847,0,0,1847,,1,ALEXANDRIA CITY
16,203 - AGUDAS ACHIM SYNAGOGUE,1873,0,0,1873,,1,ALEXANDRIA CITY
17,204 - BLESSED SACRAMENT CHURCH,1789,0,0,1789,,3,ALEXANDRIA CITY
18,205 - DOUGLAS MACARTHUR SCHOOL,2248,0,0,2248,,0,ALEXANDRIA CITY
19,206 - CHINQUAPIN PARK RECREATION CTR,1638,0,0,1638,,2,ALEXANDRIA CITY
20,207 - TEMPLE BETH EL SYNAGOGUE,2202,0,0,2202,,5,ALEXANDRIA CITY
21,208 - NOVA ARTS CENTER,2280,0,0,2280,,2,ALEXANDRIA CITY
22,209 - JAMES K POLK SCHOOL,2258,0,0,2258,,7,ALEXANDRIA CITY
